location	long	lat
Birmingham	52.486243	-1.890401
Wolverhampton	52.586973	-2.12882
Walsall	52.586214	-1.982919
Sutton Coldfield	52.570385	-1.824042
Dudley	52.512255	-2.081112
West Brom	52.509038	-1.963938
Halesowen	52.449845	-2.050526
Stechford	52.48396	-1.807598
Chelmsley Wood	52.479201	-1.732631
Longbridge	52.388445	-1.977676
Kings Heath	52.432447	-1.893119
Solihull	52.411811	-1.77761
